,Player,Team,Year,Conf,Age,Games,MP,PTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,MPpg,PTSpg,FGpg,3Ppg,FTpg,ORBpg,DRBpg,TRBpg,ASTpg,STLpg,BLKpg,TOVpg,PFpg,Target
646,Adrian Caldwell,HOU,1989,EAST,23,51,331,97,42,76,0.553,0,0,0,13,28,0.464,36,73,109,7,11,18,32,69,6.49,1.9,0.82,0,0.25,0.71,1.43,2.1,0.1,0.22,0.35,0.63,1.35,1
647,Lanard Copeland,PHI,1989,EAST,24,23,110,74,31,68,0.456,1,5,0.2,11,14,0.786,4,6,10,9,1,1,19,12,4.78,3.2,1.35,0.04,0.48,0.17,0.26,0.4,0.4,0.04,0.04,0.83,0.52,0
648,Terry Davis,MIA,1989,EAST,22,63,884,298,122,262,0.466,0,1,0,54,87,0.621,93,136,229,25,25,28,68,171,14.03,4.7,1.94,0,0.86,1.48,2.16,3.6,0.4,0.4,0.44,1.08,2.71,1
649,Byron Dinkins,HOU,1989,EAST,22,33,362,115,44,109,0.404,1,9,0.111,26,30,0.867,13,27,40,75,19,2,37,30,10.97,3.5,1.33,0.03,0.79,0.39,0.82,1.2,2.3,0.58,0.06,1.12,0.91,0
650,Vlade Divac*,LAL,1989,WEST,21,82,1611,701,274,549,0.499,0,5,0,153,216,0.708,167,345,512,75,79,114,110,240,19.65,8.5,3.34,0,1.87,2.04,4.21,6.2,0.9,0.96,1.39,1.34,2.93,1
651,Sherman Douglas,MIA,1989,EAST,23,81,2470,1155,463,938,0.494,5,31,0.161,224,326,0.687,70,136,206,619,145,10,246,187,30.49,14.3,5.72,0.06,2.77,0.86,1.68,2.5,7.6,1.79,0.12,3.04,2.31,1
652,Terry Dozier,CHH,1989,EAST,23,9,92,22,9,27,0.333,0,1,0,4,8,0.5,7,8,15,3,6,2,7,10,10.22,2.4,1,0,0.44,0.78,0.89,1.7,0.3,0.67,0.22,0.78,1.11,0
653,Blue Edwards,UTA,1989,WEST,24,82,1889,727,286,564,0.507,9,30,0.3,146,203,0.719,69,182,251,145,76,36,152,280,23.04,8.9,3.49,0.11,1.78,0.84,2.22,3.1,1.8,0.93,0.44,1.85,3.41,1
654,Jay Edwards,LAC,1990,WEST,21,4,26,7,3,7,0.429,0,2,0,1,3,0.333,1,1,2,4,1,0,1,4,6.5,1.8,0.75,0,0.25,0.25,0.25,0.5,1,0.25,0,0.25,1,0
655,Sean Elliott,SAS,1989,WEST,21,81,2032,810,311,647,0.481,1,9,0.111,187,216,0.866,127,170,297,154,45,14,112,172,25.09,10,3.84,0.01,2.31,1.57,2.1,3.7,1.9,0.56,0.17,1.38,2.12,1
656,Pervis Ellison,SAC,1989,WEST,22,34,866,271,111,251,0.442,0,2,0,49,78,0.628,64,132,196,65,16,57,62,132,25.47,8,3.26,0,1.44,1.88,3.88,5.8,1.9,0.47,1.68,1.82,3.88,1
657,Derrick Gervin,NJN,1990,EAST,26,21,339,251,93,197,0.472,0,3,0,65,89,0.73,29,36,65,8,20,7,12,47,16.14,12,4.43,0,3.1,1.38,1.71,3.1,0.4,0.95,0.33,0.57,2.24,0
658,Greg Grant,PHO,1989,WEST,23,67,678,208,83,216,0.384,3,16,0.188,39,59,0.661,16,43,59,168,36,1,77,58,10.12,3.1,1.24,0.04,0.58,0.24,0.64,0.9,2.5,0.54,0.01,1.15,0.87,1
659,Scott Haffner,MIA,1989,EAST,23,43,559,196,88,217,0.406,3,21,0.143,17,25,0.68,7,44,51,80,13,2,33,53,13,4.6,2.05,0.07,0.4,0.16,1.02,1.2,1.9,0.3,0.05,0.77,1.23,0
660,Tom Hammonds,WSB,1989,EAST,22,61,805,321,129,295,0.437,0,1,0,63,98,0.643,61,107,168,51,11,14,46,98,13.2,5.3,2.11,0,1.03,1,1.75,2.8,0.8,0.18,0.23,0.75,1.61,1
661,Tim Hardaway,GSW,1989,WEST,23,79,2663,1162,464,985,0.471,23,84,0.274,211,276,0.764,57,253,310,689,165,12,260,232,33.71,14.7,5.87,0.29,2.67,0.72,3.2,3.9,8.7,2.09,0.15,3.29,2.94,1
662,Mike Higgins,LAL,1989,WEST,22,11,50,14,3,8,0.375,0,0,0,8,10,0.8,2,2,4,3,2,2,1,5,4.55,1.3,0.27,0,0.73,0.18,0.18,0.4,0.3,0.18,0.18,0.09,0.45,0
663,Ed Horton,WSB,1989,EAST,22,45,374,202,80,162,0.494,0,4,0,42,69,0.609,59,49,108,19,9,5,39,63,8.31,4.5,1.78,0,0.93,1.31,1.09,2.4,0.4,0.2,0.11,0.87,1.4,0
664,Byron Irvin,POR,1989,WEST,23,50,488,258,96,203,0.473,5,14,0.357,61,91,0.67,30,44,74,47,28,1,39,40,9.76,5.2,1.92,0.1,1.22,0.6,0.88,1.5,0.9,0.56,0.02,0.78,0.8,1
665,Jaren Jackson,NJN,1989,EAST,22,28,160,67,25,69,0.362,0,3,0,17,21,0.81,16,8,24,13,13,1,18,16,5.71,2.4,0.89,0,0.61,0.57,0.29,0.9,0.5,0.46,0.04,0.64,0.57,1
666,Eric Johnson,UTA,1989,WEST,23,48,272,54,20,84,0.238,1,6,0.167,13,17,0.765,8,20,28,64,17,2,26,49,5.67,1.1,0.42,0.02,0.27,0.17,0.42,0.6,1.3,0.35,0.04,0.54,1.02,0
667,Nate Johnston,UTA,1989,WEST,23,21,87,46,18,48,0.375,1,4,0.25,9,13,0.692,13,10,23,1,3,8,6,11,4.14,2.2,0.86,0.05,0.43,0.62,0.48,1.1,0,0.14,0.38,0.29,0.52,0
668,Shawn Kemp,SEA,1989,WEST,20,81,1120,525,203,424,0.479,2,12,0.167,117,159,0.736,146,200,346,26,47,70,107,204,13.83,6.5,2.51,0.02,1.44,1.8,2.47,4.3,0.3,0.58,0.86,1.32,2.52,1
