,Player,Team,Year,Conf,Age,Games,MP,PTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,MPpg,PTSpg,FGpg,3Ppg,FTpg,ORBpg,DRBpg,TRBpg,ASTpg,STLpg,BLKpg,TOVpg,PFpg,Target
191,Al Wood,ATL,1981,EAST,23,48,930,454,179,381,0.47,3,24,0.125,93,119,0.782,51,83,134,58,31,9,71,108,19.38,9.5,3.73,0.06,1.94,1.06,1.73,2.8,1.2,0.65,0.19,1.48,2.25,1
192,Howard Wood,UTA,1981,WEST,22,42,342,144,55,120,0.458,0,1,0,34,52,0.654,22,43,65,9,8,6,15,37,8.14,3.4,1.31,0,0.81,0.52,1.02,1.5,0.2,0.19,0.14,0.36,0.88,0
193,Orlando Woolridge,CHI,1981,EAST,22,75,1188,548,202,394,0.513,0,3,0,144,206,0.699,82,145,227,81,23,24,107,152,15.84,7.3,2.69,0,1.92,1.09,1.93,3,1.1,0.31,0.32,1.43,2.03,1
194,Rich Yonakor,SAS,1982,WEST,23,10,70,33,14,26,0.538,0,0,0,5,7,0.714,13,14,27,3,1,2,2,7,7,3.3,1.4,0,0.5,1.3,1.4,2.7,0.3,0.1,0.2,0.2,0.7,0
195,Dwight Anderson,DEN,1982,WEST,22,5,33,21,7,14,0.5,0,0,0,7,10,0.7,0,2,2,3,1,0,5,7,6.6,4.2,1.4,0,1.4,0,0.4,0.4,0.6,0.2,0,1,1.4,0
196,J.J. Anderson,PHI,1982,EAST,22,65,1202,480,190,379,0.501,0,4,0,100,175,0.571,119,175,294,67,63,21,79,153,18.49,7.4,2.92,0,1.54,1.83,2.69,4.5,1,0.97,0.32,1.22,2.35,1
197,Richard Anderson,SDC,1982,WEST,22,78,1274,403,174,431,0.404,7,19,0.368,48,69,0.696,111,161,272,120,57,26,93,170,16.33,5.2,2.23,0.09,0.62,1.42,2.06,3.5,1.5,0.73,0.33,1.19,2.18,1
198,John Bagley,CLE,1982,EAST,22,68,990,386,161,373,0.432,0,14,0,64,84,0.762,17,79,96,167,54,5,118,74,14.56,5.7,2.37,0,0.94,0.25,1.16,1.4,2.5,0.79,0.07,1.74,1.09,1
199,Dave Batton,WSB,1982,EAST,26,54,558,178,85,191,0.445,0,3,0,8,17,0.471,45,74,119,29,15,13,28,56,10.33,3.3,1.57,0,0.15,0.83,1.37,2.2,0.5,0.28,0.24,0.52,1.04,0
200,Lester Conner,GSW,1982,WEST,23,75,1416,369,145,303,0.479,0,4,0,79,113,0.699,69,152,221,253,116,7,99,141,18.88,4.9,1.93,0,1.05,0.92,2.03,2.9,3.4,1.55,0.09,1.32,1.88,1
201,Chubby Cox,WSB,1983,EAST,27,7,78,29,13,37,0.351,0,2,0,3,6,0.5,7,3,10,6,0,1,9,16,11.14,4.1,1.86,0,0.43,1,0.43,1.4,0.9,0,0.14,1.29,2.29,0
202,Terry Cummings,SDC,1982,WEST,21,70,2531,1660,684,1309,0.523,0,1,0,292,412,0.709,303,441,744,177,129,62,204,294,36.16,23.7,9.77,0,4.17,4.33,6.3,10.6,2.5,1.84,0.89,2.91,4.2,1
203,Quintin Dailey,CHI,1982,EAST,22,76,2081,1151,470,1008,0.466,5,25,0.2,206,282,0.73,87,173,260,280,72,10,205,248,27.38,15.1,6.18,0.07,2.71,1.14,2.28,3.4,3.7,0.95,0.13,2.7,3.26,1
204,Mike Davis,NYK,1983,EAST,26,8,28,14,4,10,0.4,0,0,0,6,10,0.6,3,7,10,0,0,4,0,4,3.5,1.8,0.5,0,0.75,0.38,0.88,1.3,0,0,0.5,0,0.5,0
205,Mark Eaton,UTA,1982,WEST,26,81,1528,351,146,353,0.414,0,1,0,59,90,0.656,86,376,462,112,24,275,140,257,18.86,4.3,1.8,0,0.73,1.06,4.64,5.7,1.4,0.3,3.4,1.73,3.17,1
206,Jerry Eaves,UTA,1982,WEST,23,82,1588,761,280,575,0.487,1,8,0.125,200,247,0.81,34,88,122,210,51,3,152,116,19.37,9.3,3.41,0.01,2.44,0.41,1.07,1.5,2.6,0.62,0.04,1.85,1.41,1
207,Keith Edmonson,ATL,1982,EAST,22,32,309,112,48,139,0.345,0,2,0,16,27,0.593,20,19,39,22,11,6,20,41,9.66,3.5,1.5,0,0.5,0.62,0.59,1.2,0.7,0.34,0.19,0.62,1.28,0
208,Chris Engler,GSW,1982,WEST,23,54,369,81,38,94,0.404,0,0,0,5,16,0.313,43,61,104,11,7,17,24,95,6.83,1.5,0.7,0,0.09,0.8,1.13,1.9,0.2,0.13,0.31,0.44,1.76,1
209,Bruce Flowers,CLE,1982,EAST,25,53,699,261,110,206,0.534,0,2,0,41,53,0.774,71,109,180,47,19,12,43,99,13.19,4.9,2.08,0,0.77,1.34,2.06,3.4,0.9,0.36,0.23,0.81,1.87,0
210,Sleepy Floyd,NJN,1982,EAST,22,76,1248,612,226,527,0.429,10,25,0.4,150,180,0.833,56,81,137,138,58,17,106,134,16.42,8.1,2.97,0.13,1.97,0.74,1.07,1.8,1.8,0.76,0.22,1.39,1.76,1
211,Bill Garnett,DAL,1982,WEST,22,75,1411,469,170,319,0.533,0,3,0,129,174,0.741,141,265,406,103,48,70,81,245,18.81,6.3,2.27,0,1.72,1.88,3.53,5.4,1.4,0.64,0.93,1.08,3.27,1
212,John Greig,SEA,1983,WEST,21,9,26,19,7,13,0.538,0,0,0,5,6,0.833,2,4,6,0,0,1,2,4,2.89,2.1,0.78,0,0.56,0.22,0.44,0.7,0,0,0.11,0.22,0.44,0
213,Scott Hastings,NYK,1982,EAST,22,31,140,37,13,38,0.342,0,3,0,11,20,0.55,15,26,41,3,6,1,9,34,4.52,1.2,0.42,0,0.35,0.48,0.84,1.3,0.1,0.19,0.03,0.29,1.1,1
214,Rod Higgins,CHI,1982,EAST,23,82,2196,848,313,698,0.448,13,41,0.317,209,264,0.792,159,207,366,175,66,65,127,248,26.78,10.3,3.82,0.16,2.55,1.94,2.52,4.5,2.1,0.8,0.79,1.55,3.02,1
215,Craig Hodges,SDC,1982,WEST,22,76,2022,750,318,704,0.452,20,90,0.222,94,130,0.723,53,69,122,275,82,4,161,192,26.61,9.9,4.18,0.26,1.24,0.7,0.91,1.6,3.6,1.08,0.05,2.12,2.53,1
216,Marc Iavaroni,PHI,1982,EAST,26,80,1612,404,163,353,0.462,0,2,0,78,113,0.69,117,212,329,83,32,44,133,238,20.15,5.1,2.04,0,0.98,1.46,2.65,4.1,1,0.4,0.55,1.66,2.98,1
217,Jim Johnstone,SAS,1982,WEST,22,23,191,31,11,30,0.367,0,0,0,9,20,0.45,15,31,46,11,3,7,15,33,8.3,1.3,0.48,0,0.39,0.65,1.35,2,0.5,0.13,0.3,0.65,1.43,0
218,Hutch Jones,SDC,1982,WEST,23,9,85,40,17,37,0.459,0,0,0,6,6,1,10,7,17,4,3,0,6,14,9.44,4.4,1.89,0,0.67,1.11,0.78,1.9,0.4,0.33,0,0.67,1.56,0
219,Clark Kellogg,IND,1982,EAST,21,81,2761,1625,680,1420,0.479,4,18,0.222,261,352,0.741,340,520,860,223,141,43,217,298,34.09,20.1,8.4,0.05,3.22,4.2,6.42,10.6,2.8,1.74,0.53,2.68,3.68,1
220,Joe Kopicki,WSB,1983,EAST,22,17,201,67,23,51,0.451,0,1,0,21,25,0.84,18,44,62,9,9,2,8,21,11.82,3.9,1.35,0,1.24,1.06,2.59,3.6,0.5,0.53,0.12,0.47,1.24,1
221,Fat Lever,POR,1982,WEST,22,81,2020,633,256,594,0.431,5,15,0.333,116,159,0.73,85,140,225,426,153,15,137,179,24.94,7.8,3.16,0.06,1.43,1.05,1.73,2.8,5.3,1.89,0.19,1.69,2.21,1
222,Cliff Levingston,DET,1982,EAST,22,62,879,346,131,270,0.485,0,1,0,84,147,0.571,104,128,232,52,23,36,73,125,14.18,5.6,2.11,0,1.35,1.68,2.06,3.7,0.8,0.37,0.58,1.18,2.02,1
223,Steve Lingenfelter,WSB,1982,EAST,24,7,53,8,4,6,0.667,0,0,0,0,4,0,1,11,12,4,1,3,5,16,7.57,1.1,0.57,0,0,0.14,1.57,1.7,0.6,0.14,0.43,0.71,2.29,0
224,Dave Magley,CLE,1982,EAST,23,14,56,12,4,16,0.25,0,1,0,4,8,0.5,2,8,10,2,2,0,2,5,4,0.9,0.29,0,0.29,0.14,0.57,0.7,0.1,0.14,0,0.14,0.36,0
225,Mark McNamara,PHI,1982,EAST,23,36,182,78,29,64,0.453,0,0,0,20,45,0.444,34,42,76,7,3,3,36,42,5.06,2.2,0.81,0,0.56,0.94,1.17,2.1,0.2,0.08,0.08,1,1.17,1
226,Guy Morgan,IND,1982,EAST,22,8,46,15,7,24,0.292,0,0,0,1,4,0.25,6,11,17,7,2,0,2,7,5.75,1.9,0.88,0,0.12,0.75,1.38,2.1,0.9,0.25,0,0.25,0.88,0
227,Ed Nealy,KCK,1982,WEST,22,82,1643,364,147,247,0.595,0,0,0,70,114,0.614,170,315,485,62,68,12,51,247,20.04,4.4,1.79,0,0.85,2.07,3.84,5.9,0.8,0.83,0.15,0.62,3.01,1
228,Chuck Nevitt,HOU,1983,EAST,23,6,64,23,11,15,0.733,0,0,0,1,4,0.25,6,11,17,0,1,12,7,14,10.67,3.8,1.83,0,0.17,1,1.83,2.8,0,0.17,2,1.17,2.33,1
229,Audie Norris,POR,1982,WEST,22,30,311,66,26,63,0.413,0,0,0,14,30,0.467,25,44,69,24,13,2,33,61,10.37,2.2,0.87,0,0.47,0.83,1.47,2.3,0.8,0.43,0.07,1.1,2.03,1
230,Eddie Phillips,NJN,1982,EAST,21,48,416,152,56,138,0.406,0,2,0,40,59,0.678,27,50,77,29,14,8,50,58,8.67,3.2,1.17,0,0.83,0.56,1.04,1.6,0.6,0.29,0.17,1.04,1.21,0
231,Ricky Pierce,DET,1982,EAST,23,39,265,85,33,88,0.375,1,7,0.143,18,32,0.563,15,20,35,14,8,4,18,42,6.79,2.2,0.85,0.03,0.46,0.38,0.51,0.9,0.4,0.21,0.1,0.46,1.08,1
232,Charles Pittman,PHO,1983,WEST,24,28,170,63,19,40,0.475,0,1,0,25,37,0.676,13,18,31,7,2,7,22,41,6.07,2.3,0.68,0,0.89,0.46,0.64,1.1,0.3,0.07,0.25,0.79,1.46,1
233,Paul Pressey,MIL,1982,EAST,24,79,1528,532,213,466,0.457,1,9,0.111,105,176,0.597,83,198,281,207,99,47,162,174,19.34,6.7,2.7,0.01,1.33,1.05,2.51,3.6,2.6,1.25,0.59,2.05,2.2,1
234,Oliver Robinson,SAS,1982,WEST,22,35,147,101,35,97,0.361,1,11,0.091,30,45,0.667,6,11,17,21,4,2,13,18,4.2,2.9,1,0.03,0.86,0.17,0.31,0.5,0.6,0.11,0.06,0.37,0.51,0
235,Walker Russell,DET,1982,EAST,22,68,757,183,67,184,0.364,2,18,0.111,47,58,0.81,19,54,73,131,16,1,92,71,11.13,2.7,0.99,0.03,0.69,0.28,0.79,1.1,1.9,0.24,0.01,1.35,1.04,1
236,Mike Sanders,SAS,1983,WEST,22,26,393,183,76,157,0.484,0,2,0,31,43,0.721,31,63,94,19,18,6,28,57,15.12,7,2.92,0,1.19,1.19,2.42,3.6,0.7,0.69,0.23,1.08,2.19,1
237,Russ Schoene,PHI,1982,EAST,22,77,1222,476,207,435,0.476,1,4,0.25,61,83,0.735,96,159,255,59,25,23,81,192,15.87,6.2,2.69,0.01,0.79,1.25,2.06,3.3,0.8,0.32,0.3,1.05,2.49,1
238,Ed Sherod,NJN,1982,EAST,23,64,1624,395,171,421,0.406,1,13,0.077,52,80,0.65,43,106,149,311,96,14,104,112,25.38,6.2,2.67,0.02,0.81,0.67,1.66,2.3,4.9,1.5,0.22,1.62,1.75,0
239,Jose Slaughter,IND,1982,EAST,22,63,515,225,89,238,0.374,9,41,0.22,38,59,0.644,34,34,68,52,36,7,42,93,8.17,3.6,1.41,0.14,0.6,0.54,0.54,1.1,0.8,0.57,0.11,0.67,1.48,0
240,Derek Smith,GSW,1983,WEST,21,27,154,59,21,51,0.412,0,2,0,17,25,0.68,10,28,38,2,0,4,11,40,5.7,2.2,0.78,0,0.63,0.37,1.04,1.4,0.1,0,0.15,0.41,1.48,1
241,Brook Steppe,KCK,1982,WEST,23,62,606,245,84,176,0.477,1,7,0.143,76,100,0.76,25,48,73,68,26,3,55,92,9.77,4,1.35,0.02,1.23,0.4,0.77,1.2,1.1,0.42,0.05,0.89,1.48,1
242,Jeff Taylor,HOU,1982,EAST,23,44,774,158,64,160,0.4,0,1,0,30,46,0.652,25,53,78,110,40,15,60,82,17.59,3.6,1.45,0,0.68,0.57,1.2,1.8,2.5,0.91,0.34,1.36,1.86,0
243,Vince Taylor,NYK,1982,EAST,22,31,321,95,37,102,0.363,0,0,0,21,32,0.656,19,17,36,41,20,2,30,54,10.35,3.1,1.19,0,0.68,0.61,0.55,1.2,1.3,0.65,0.06,0.97,1.74,0
244,Terry Teagle,HOU,1982,EAST,22,73,1708,761,332,776,0.428,10,29,0.345,87,125,0.696,74,120,194,150,53,18,137,171,23.4,10.4,4.55,0.14,1.19,1.01,1.64,2.7,2.1,0.73,0.25,1.88,2.34,1
245,David Thirdkill,PHO,1982,WEST,22,49,521,194,74,170,0.435,1,7,0.143,45,78,0.577,28,44,72,36,19,4,48,93,10.63,4,1.51,0.02,0.92,0.57,0.9,1.5,0.7,0.39,0.08,0.98,1.9,1
246,Corny Thompson,DAL,1982,WEST,22,44,520,122,43,137,0.314,0,0,0,36,46,0.783,41,79,120,34,12,7,31,92,11.82,2.8,0.98,0,0.82,0.93,1.8,2.7,0.8,0.27,0.16,0.7,2.09,0
247,LaSalle Thompson,KCK,1982,WEST,21,71,987,383,147,287,0.512,0,1,0,89,137,0.65,133,242,375,33,40,61,96,186,13.9,5.4,2.07,0,1.25,1.87,3.41,5.3,0.5,0.56,0.86,1.35,2.62,1
248,Darren Tillis,BOS,1982,EAST,22,52,526,168,76,181,0.42,0,1,0,16,28,0.571,41,89,130,18,8,30,22,76,10.12,3.2,1.46,0,0.31,0.79,1.71,2.5,0.3,0.15,0.58,0.42,1.46,0
249,Linton Townes,POR,1982,WEST,23,55,516,247,105,234,0.449,9,25,0.36,28,38,0.737,30,35,65,31,19,5,33,81,9.38,4.5,1.91,0.16,0.51,0.55,0.64,1.2,0.6,0.35,0.09,0.6,1.47,1
250,Trent Tucker,NYK,1982,EAST,23,78,1830,655,299,647,0.462,14,30,0.467,43,64,0.672,75,141,216,195,56,6,70,235,23.46,8.4,3.83,0.18,0.55,0.96,1.81,2.8,2.5,0.72,0.08,0.9,3.01,1
251,Bryan Warrick,WSB,1982,EAST,23,43,727,172,65,171,0.38,0,5,0,42,57,0.737,15,54,69,126,21,8,71,103,16.91,4,1.51,0,0.98,0.35,1.26,1.6,2.9,0.49,0.19,1.65,2.4,1
252,Rory White,PHO,1982,WEST,23,65,626,324,127,234,0.543,0,1,0,70,109,0.642,47,58,105,30,16,2,51,54,9.63,5,1.95,0,1.08,0.72,0.89,1.6,0.5,0.25,0.03,0.78,0.83,1
253,Dominique Wilkins*,ATL,1982,EAST,23,82,2697,1434,601,1220,0.493,2,11,0.182,230,337,0.682,226,252,478,129,84,63,180,210,32.89,17.5,7.33,0.02,2.8,2.76,3.07,5.8,1.6,1.02,0.77,2.2,2.56,1
254,Rickey Williams,UTA,1982,WEST,25,44,346,147,56,135,0.415,0,3,0,35,53,0.66,15,23,38,37,20,4,38,42,7.86,3.3,1.27,0,0.8,0.34,0.52,0.9,0.8,0.45,0.09,0.86,0.95,0
255,Rob Williams,DEN,1982,WEST,21,74,1443,515,191,468,0.408,2,15,0.133,131,174,0.753,37,99,136,361,89,12,185,221,19.5,7,2.58,0.03,1.77,0.5,1.34,1.8,4.9,1.2,0.16,2.5,2.99,0
256,James Worthy*,LAL,1982,WEST,21,77,1970,1033,447,772,0.579,1,4,0.25,138,221,0.624,157,242,399,132,91,64,178,221,25.58,13.4,5.81,0.01,1.79,2.04,3.14,5.2,1.7,1.18,0.83,2.31,2.87,1
257,Jim Zoet,DET,1982,EAST,29,7,30,2,1,5,0.2,0,0,0,0,0,0,3,5,8,1,1,3,4,9,4.29,0.3,0.14,0,0,0.43,0.71,1.1,0.1,0.14,0.43,0.57,1.29,0
258,Ken Austin,DET,1983,EAST,22,7,28,12,6,13,0.462,0,0,0,0,0,0,2,1,3,1,1,1,3,7,4,1.7,0.86,0,0,0.29,0.14,0.4,0.1,0.14,0.14,0.43,1,0
259,Thurl Bailey,UTA,1983,WEST,22,81,2009,692,302,590,0.512,0,0,0,88,117,0.752,115,349,464,129,38,122,105,193,24.8,8.5,3.73,0,1.09,1.42,4.31,5.7,1.6,0.47,1.51,1.3,2.38,1
260,Randy Breuer,MIL,1983,EAST,23,57,472,168,68,177,0.384,0,0,0,32,46,0.696,48,61,109,17,11,38,35,98,8.28,2.9,1.19,0,0.56,0.84,1.07,1.9,0.3,0.19,0.67,0.61,1.72,1
261,Wallace Bryant,CHI,1983,EAST,24,29,317,118,52,133,0.391,0,0,0,14,33,0.424,37,43,80,13,9,11,16,48,10.93,4.1,1.79,0,0.48,1.28,1.48,2.8,0.4,0.31,0.38,0.55,1.66,1
262,Howard Carter,DEN,1983,WEST,22,55,688,342,145,316,0.459,5,19,0.263,47,61,0.77,38,48,86,71,19,4,42,81,12.51,6.2,2.64,0.09,0.85,0.69,0.87,1.6,1.3,0.35,0.07,0.76,1.47,0
263,Carlos Clark,BOS,1983,EAST,23,31,127,54,19,52,0.365,0,2,0,16,18,0.889,7,10,17,17,8,1,12,13,4.1,1.7,0.61,0,0.52,0.23,0.32,0.5,0.5,0.26,0.03,0.39,0.42,0
264,Leroy Combs,IND,1983,EAST,23,48,446,218,81,163,0.497,0,3,0,56,91,0.615,19,37,56,38,23,18,46,49,9.29,4.5,1.69,0,1.17,0.4,0.77,1.2,0.8,0.48,0.38,0.96,1.02,0
265,Russell Cross,GSW,1983,WEST,22,45,354,166,64,112,0.571,0,0,0,38,91,0.418,35,47,82,22,12,7,19,58,7.87,3.7,1.42,0,0.84,0.78,1.04,1.8,0.5,0.27,0.16,0.42,1.29,0
266,Darren Daye,WSB,1983,EAST,23,75,1174,455,180,408,0.441,0,6,0,95,133,0.714,90,98,188,176,38,12,96,154,15.65,6.1,2.4,0,1.27,1.2,1.31,2.5,2.3,0.51,0.16,1.28,2.05,1
267,Clyde Drexler*,POR,1983,WEST,21,82,1408,628,252,559,0.451,1,4,0.25,123,169,0.728,112,123,235,153,107,29,123,209,17.17,7.7,3.07,0.01,1.5,1.37,1.5,2.9,1.9,1.3,0.35,1.5,2.55,1
268,Craig Ehlo,HOU,1984,EAST,22,7,63,23,11,27,0.407,0,0,0,1,1,1,4,5,9,6,3,0,3,13,9,3.3,1.57,0,0.14,0.57,0.71,1.3,0.9,0.43,0,0.43,1.86,1
269,Dale Ellis,DAL,1983,WEST,23,67,1059,549,225,493,0.456,12,29,0.414,87,121,0.719,106,144,250,56,41,9,78,118,15.81,8.2,3.36,0.18,1.3,1.58,2.15,3.7,0.8,0.61,0.13,1.16,1.76,1
270,Rod Foster,PHO,1983,WEST,23,80,1424,664,260,580,0.448,22,84,0.262,122,155,0.787,39,81,120,172,54,9,108,193,17.8,8.3,3.25,0.28,1.52,0.49,1.01,1.5,2.2,0.68,0.11,1.35,2.41,1
271,John Garris,CLE,1983,EAST,24,33,267,131,52,102,0.51,0,0,0,27,34,0.794,35,42,77,10,8,6,11,40,8.09,4,1.58,0,0.82,1.06,1.27,2.3,0.3,0.24,0.18,0.33,1.21,0
272,Mike Gibson,WSB,1983,EAST,23,32,229,53,21,55,0.382,0,0,0,11,17,0.647,29,37,66,9,5,7,14,30,7.16,1.7,0.66,0,0.34,0.91,1.16,2.1,0.3,0.16,0.22,0.44,0.94,0
273,Stewart Granger,CLE,1983,EAST,22,56,738,251,97,226,0.429,4,13,0.308,53,70,0.757,8,47,55,134,24,0,57,97,13.18,4.5,1.73,0.07,0.95,0.14,0.84,1,2.4,0.43,0,1.02,1.73,1
274,Sidney Green,CHI,1983,EAST,23,49,667,255,100,228,0.439,0,0,0,55,77,0.714,58,116,174,25,18,17,60,128,13.61,5.2,2.04,0,1.12,1.18,2.37,3.6,0.5,0.37,0.35,1.22,2.61,1
275,Bob Hansen,UTA,1983,WEST,23,55,419,148,65,145,0.448,0,8,0,18,28,0.643,13,35,48,44,15,4,35,62,7.62,2.7,1.18,0,0.33,0.24,0.64,0.9,0.8,0.27,0.07,0.64,1.13,1
276,Derek Harper,DAL,1983,WEST,22,82,1712,469,200,451,0.443,3,26,0.115,66,98,0.673,53,119,172,239,95,21,111,143,20.88,5.7,2.44,0.04,0.8,0.65,1.45,2.1,2.9,1.16,0.26,1.35,1.74,1
277,Roy Hinson,CLE,1983,EAST,22,80,1858,437,184,371,0.496,0,0,0,69,117,0.59,175,324,499,69,31,145,109,306,23.22,5.5,2.3,0,0.86,2.19,4.05,6.2,0.9,0.39,1.81,1.36,3.82,1
278,Charles Jones,PHI,1984,EAST,26,1,3,1,0,1,0,0,0,0,1,4,0.25,0,0,0,0,0,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,1,1
279,Mark Jones,NJN,1983,EAST,22,6,16,7,3,6,0.5,0,1,0,1,2,0.5,2,0,2,5,0,0,2,2,2.67,1.2,0.5,0,0.17,0.33,0,0.3,0.8,0,0,0.33,0.33,0
